"Task Aware Debugger for GDB" version 11.6.0 (202206271353)
(c) 2016-2022 NXP Semiconductors, Inc.
==================================
14:46:07.312 INFO: [ZephyrRTOS] C:\Temp\221056\8 nxp 15.11\lpcxpresso55s69_hello_world\Debug\.config file could not be read
14:46:07.312 INFO: [TadModel] DSF session ID 30 has started.
14:46:22.351 INFO: [TadState] TAD state changed: DEBUG_STARTED -> DEBUG_INIT_0 (RESUMED, USER_REQUEST)
14:46:22.450 INFO: [TadState] TAD state changed: DEBUG_INIT_0 -> DEBUG_INIT_1 (SUSPENDED, SIGNAL)
14:46:24.189 INFO: [TadState] TAD state changed: DEBUG_INIT_1 -> DEBUG_SUSPENDED (RESUMED, USER_REQUEST)
14:46:24.332 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_SUSPENDED (SUSPENDED, BREAKPOINT)
14:46:28.345 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_RESUMED (RESUMED, STEP)
14:46:28.781 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:46:29.353 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:46:30.216 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:46:30.882 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:46:31.702 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:46:32.200 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:46:32.971 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:46:34.721 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:46:35.677 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:46:36.237 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:46:37.57 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:46:37.615 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:46:38.494 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:46:40.301 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:46:40.607 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:46:44.853 INFO: [TadModel] DSF session ID 30 has ended.
